"RSN","YEAR","Region","M","Dip","Rake","Ztor","Zhyp","Rjb","Rrup","Rx","Vs30","Z25","Z10","W","Fnm","Frv","A1100","LUF","HUF","T10p000","T07p500","T05p000","T04p000","T03p000","T02p000","T01p500","T01p000","T00p750","T00p500","T00p400","T00p300","T00p250","T00p200","T00p150","T00p100","T00p075","T00p050","EQID","SSN"
71,1971,1,6.61,50,83,0,13,13.99,19.3,16.3,602.1,0.32,0.32,27.4,0,1,0.1776,0.25,28,NA,NA,NA,-0.0937606729934979,-0.624835688306102,0.00204526205671085,-0.804631810661064,-0.0362776140792929,-0.287467416385161,-0.428403857170196,0.0749436668389438,0.57371818044505,1.39871331702061,0.770144743992092,0.356335627936245,0.286941208215936,0.282493060595796,0.0884950658610704,30,80
72,1971,1,6.61,50,83,0,13,19.45,25.07,27.13,600.06,-999,-999,27.4,0,1,0.1289,0.25,28,NA,NA,NA,-0.33150849459184,-1.65554351098169,-0.90249766729506,-0.257250728694711,-0.432000951947071,-0.760309306307986,-0.257119623821217,-0.321749653717149,-0.132776818053219,0.140451972617487,0.538316005819299,0.728385023550979,0.199385629520181,1.08644185761943,1.14924537066851,30,77
73,1971,1,6.61,50,83,0,13,17.22,22.57,20.24,670.84,0.32,0.02,27.4,0,1,0.1472,0.625,28,NA,NA,NA,NA,NA,NA,-0.482601210679874,-1.17448627327633,-1.044578480142,-1.4359260524739,-0.59539590445844,-0.292443362244856,-0.365340380891615,-1.10916176476278,-0.0593000686387821,0.383111525972559,0.161205651386992,0.942220881018032,30,79
78,1971,1,6.61,50,83,0,13,24.16,28.99,31.37,452.86,-999,-999,27.4,0,1,0.1062,0.1875,28,NA,NA,-1.26763433158536,-0.179288035101651,-1.4464402743492,0.999676330920364,0.829779551798472,-0.0290738486015689,0.320221740996399,0.156434471354095,-0.51667340420297,0.201665211046099,0.362394611889369,0.326818452075875,0.319314360308852,0.655949330166478,0.111572911478222,0.128865903113151,30,82
81,1971,1,6.61,50,83,0,13,35.54,38.97,29.84,529.09,-999,-999,27.4,0,1,0.0737,0.25,28,NA,NA,NA,-0.425405411011291,0.0631333531652754,-0.85928999733968,-0.786885827439334,-0.565136685182118,-0.184829789589024,-0.316321092365789,0.354283023319393,0.210152527121039,0.256438386880781,0.214522874127826,1.28636286181498,0.826262487364859,0.84917650861574,0.783193366195237,30,84
82,1971,1,6.61,50,83,0,13,68.84,68.84,-36.79,248.98,2.14,0.52,27.4,0,1,0.0371,0.0625,28,0.363300804867109,0.916361647705033,0.429864042042562,0.8142316464488,0.970226086699129,0.368294514710507,-0.33294686071096,-0.0788212577435754,-0.524974044352026,-0.859588435350757,-0.42241713566684,-0.56979437522988,-0.975029394936016,-0.765891591763437,-1.1023319435451,-1.09638534079286,-1.07222611573355,-0.633044915803206,30,85
83,1971,1,6.61,50,83,0,13,52.64,52.64,-9.37,421.44,0.32,0.32,27.4,0,1,0.0504,0.25,28,NA,NA,NA,-0.677972951110738,-0.448506028133448,-0.202912489812353,0.229008520147226,0.0514366562691011,0.0510334419080518,-0.686697997343197,-0.824990091472354,-0.708461282624034,0.00277453139215655,0.454274944813283,-0.153512879724422,0.146931531213938,-0.308307778738578,-0.501390304438585,30,87
87,1971,1,6.61,50,83,0,13,30.7,30.7,-4.38,667.13,0.32,0.02,27.4,0,1,0.0913,0.375,28,NA,NA,NA,NA,NA,-0.677158674240649,0.00968066978787796,-0.511708528591791,0.187124729405379,-0.95925472572737,-0.0977956321673488,-0.130126805846957,0.759280633668924,1.70066390376011,0.769714719159619,0.757005300329304,0.778324875588324,1.09149474387146,30,68
91,1971,1,6.61,50,83,0,13,61.72,61.73,0.74,487.23,0.32,0.32,27.4,0,1,0.0422,0.375,28,NA,NA,NA,NA,NA,-0.480730206787366,-0.832479201902168,-0.70439125047203,-0.12035008814996,0.043995458488733,0.433188311662614,0.694040875020412,1.02817278105136,0.763015282792739,0.547850948579002,1.00596779273349,0.464823514025173,-0.283528858845116,30,95
92,1971,1,6.61,50,83,0,13,68.38,70.23,56.87,347.67,-999,-999,27.4,0,1,0.0366,0.125,18.4,NA,-0.926223913408172,-0.488721204080866,-0.668248745825839,-0.95446702882483,-1.13507810518103,-1.0206395265566,-0.814207633011201,-1.46659461575042,-1.61909839983324,-1.65122825108539,-0.72109304397256,-1.35057819235012,-0.957251532965543,-0.375872144942657,0.250446041555665,-0.0273552452151069,NA,30,149
93,1971,1,6.61,50,83,0,13,39.45,39.45,-22.94,298.68,5.02,0.4,27.4,0,1,0.0791,0.125,16,NA,-0.310267506207501,0.536319925173616,0.34515536221832,0.118515087006269,-0.512925893477428,-0.36252775397365,-1.12307298589963,-0.449930526015963,-0.168935285254261,-0.558721127712701,-0.225500170593909,0.149636895640273,0.687030683027711,-0.162379703955578,0.495822175419911,-0.00747658383393635,NA,30,96
94,1971,1,6.61,50,83,0,13,61.64,62.23,23.83,486,-999,-999,27.4,0,1,0.0418,0.25,24,NA,NA,NA,-0.610337206021232,-0.88051823636113,-1.26257851064279,-0.889658814751701,-0.259517404531074,-0.406120718180437,0.0195784743095935,-0.115201593022305,0.312582095340284,0.0250913455085318,-0.0862613912254124,-0.112660365854019,0.357705259057413,0.469366016912372,0.299231731694052,30,99
121,1976,4,6.5,11.8,80,2.3,5.1,49.13,49.38,13.43,496.46,-999,-999,13.7,0,1,0.0385,0.15,24,NA,NA,-0.605730532652122,-0.482587855228513,-0.830217750221599,-1.105570519707,-1.17894193833187,-1.03921370949688,-1.11980494004721,-1.65723817250625,-1.48867627067661,-1.27653949294738,-1.16435433014536,-0.296298432668967,0.0499945319589203,-0.858732890847756,0.558258520509406,0.279535808740983,40,250
122,1976,4,6.5,11.8,80,2.3,5.1,33.32,33.4,-21.18,249.28,-999,-999,13.7,0,1,0.0595,0.125,20,NA,-0.164397730576058,-0.573890589825816,-0.691993582306866,-0.196445889578742,-0.351965651633193,0.0717482881390339,0.160027202985471,0.578484936931174,-0.101914243395338,0.0474669506212875,-0.522704249348097,0.174002430262548,-0.806843052977801,-0.208309205791758,-0.17401899395664,0.382580654843069,0.0958186246117414,40,251
125,1976,4,6.5,11.8,80,2.3,5.1,14.97,15.82,23.54,505.23,-999,-999,13.7,0,1,0.1386,0.1625,24,NA,NA,-0.290401385710782,-0.073973407947026,-0.399662323643586,-0.0938324044972236,-0.0293747247707876,0.264345279828869,0.983904976881893,1.36217806000874,-0.383777838861914,0.299299176603107,0.509965429286389,0.568724486794737,0.823723647153523,-0.0041034886850202,0.0830771097812777,-0.557706905315532,40,254
126,1976,12,6.8,58,90,3.8,18.2,3.92,5.46,-3.92,259.59,-999,-999,17,0,1,0.6276,0.25,30.4,NA,NA,NA,0.267251380102933,-0.719980040250992,-0.429594125980083,-0.248416774574152,-0.116717132073125,0.0508171216998332,-0.22821857330898,0.529651644781199,0.27326972103596,0.0644543395057582,0.755205393761504,0.359549993445078,1.64284545821792,1.84569638204049,2.50910298901276,41,260
138,1978,5,7.35,25,110,1,5.75,24.07,28.79,55.79,324.57,-999,-999,35,0,1,0.1073,0.15625,16,NA,NA,-0.152195321991818,0.157021851946424,-0.210571634236727,-0.0707827020005549,-0.0359650895309409,-0.277372543512412,-0.206321984262984,-0.155701218064219,-0.341594338793477,-0.679889610358708,-0.413257916143658,0.0148538876564501,0.12703705260058,-0.135103717878976,-0.497636645638407,NA,46,57
139,1978,5,7.35,25,110,1,5.75,0,13.94,30.83,471.53,-999,-999,35,0,1,0.5165,0.25,12,NA,NA,NA,0.0381737283968184,-0.765758937560369,-0.828661371442055,-1.21956257506327,-0.65960493423165,-1.07377236192435,-0.636406497184703,-0.490896564661743,-1.4878547686528,-0.634546979392537,-0.112878870116512,-0.47900960099382,0.0329486547378401,NA,NA,46,259
143,1978,5,7.35,25,110,1,5.75,1.79,2.05,-1.79,766.77,-999,0.021,35,0,1,0.3572,0.125,12,NA,0.957684174608857,1.77420467237922,0.712711770339657,0.961283251084863,1.25149752395636,0.497915318329173,0.185130089377631,1.6531970115386,0.587859273596747,0.495112897200974,0.853281984782473,1.26923471159734,1.06747106224519,1.12946388965094,0.431973518554547,NA,NA,46,258
145,1979,1,5.74,80,176,3.08,8,5.3,6.13,-1.6,561.43,0.8264,0.5534,7,0,0,0.2234,0.25,32,NA,NA,NA,-0.54925272621251,-1.37427634707807,-0.629717617194864,0.192975504595929,-0.134331362836854,0.138353861352658,-0.32417535095473,0.839727575200601,-0.731602239013674,-0.418953209673975,-0.569203457748843,-0.603250318055495,-1.09150660245337,-1.40456020774407,-1.50544642795628,48,449
146,1979,1,5.74,80,176,3.08,8,10.21,10.67,-9.95,1428.14,0.8222,0.003,7,0,0,0.1441,0.15,26.4,NA,NA,0.583318755655008,-0.471459197924616,0.226324327617235,1.10349332742346,0.606780489279345,0.708800999072851,0.501167592553771,0.0559046774138741,-0.170114793884261,0.233666467139249,-0.168702670168426,0.661664748507926,-0.312678742761645,-0.226405068340108,0.0716199334047252,-0.162997931850266,48,424
147,1979,1,5.74,80,176,3.08,8,8.47,9.02,-8.25,270.84,0.7995,0.198,7,0,0,0.1681,0.1625,34.4,NA,NA,-0.831323805554925,-0.866803197483305,-0.194026589728094,0.357661562700773,0.621535213192849,0.409946421603867,-0.502543677421344,-0.514735667466749,0.354256165162936,0.378190078720756,-0.722702446014564,0.19971811884402,0.265372929689092,0.112043230923495,-0.0621695610949748,0.425600169867538,48,425
148,1979,1,5.74,80,176,3.08,8,6.75,7.42,-6.4,349.85,0.7996,0.4989,7,0,0,0.1965,0.1625,32,NA,NA,-0.512441360385933,0.0819450090876241,0.773053836922514,0.543832078465955,0.60165801606686,1.03107868576935,-0.227565944664278,-0.654888968323195,0.238965751163978,0.359826514541194,-0.92216856125217,-0.156567944844205,0.45628288956402,0.197018331359221,-0.218672778127417,-0.276759225177875,48,426
149,1979,1,5.74,80,176,3.08,8,4.79,5.7,-4.63,221.78,0.7921,0.5207,7,0,0,0.2332,0.15,24,NA,NA,-0.796576075605261,-0.35552255522379,-0.249605697568659,0.0861385710115541,0.346486494810711,-0.0582981208006768,-0.0111226223041276,0.131883979958626,-0.0906490227599059,0.0760271885931258,0.0527587161201755,-0.23626954814681,-0.447771614559879,-0.869997344368403,-0.893555560306193,-0.775774917246574,48,450
150,1979,1,5.74,80,176,3.08,8,0.42,3.11,-0.41,663.31,1.5899,0.318,7,0,0,0.2939,0.125,26.4,NA,0.349102302924689,0.30729644392869,0.59106891364864,0.49305792655229,0.822038454774865,0.73411599385682,1.06802365173517,0.748900793390064,0.455941660847494,0.697328396172754,0.431469220787246,-0.176706488792248,-0.410563952068696,-1.29188110910777,-0.847756289561404,-1.05481620826913,-1.74357000088047,48,451
151,1979,1,5.74,80,176,3.08,8,33.69,33.83,-4.88,281.61,3.4658,0.3421,7,0,0,0.0385,0.375,16,NA,NA,NA,NA,NA,-1.04350730290479,-0.588823921262715,0.0468253481820398,-0.0518737261189415,-0.128536803062285,0.23670148919452,-0.465748449119113,-0.184511839424078,-0.201317187601276,-1.03218254109285,-0.651339132669962,-1.37517880360217,NA,48,448
152,1979,1,5.74,80,176,3.08,8,20.44,20.67,-15.47,367.43,0.2206,0.125,7,0,0,0.0695,0.25,40,NA,NA,NA,-0.614025578309163,-0.2171687294053,-0.393517807030422,0.27390367703744,-0.33454127288636,0.319947282899622,0.219372586178482,1.33880051057706,-0.164014889549409,-0.331612618329597,0.493617226969341,-0.603081157693111,-0.355659770075684,-0.654654027023583,-0.261495800948906,48,421
153,1979,1,5.74,80,176,3.08,8,20.44,20.67,-15.47,362.98,0.2206,0.125,7,0,0,0.0695,0.25,48,NA,NA,NA,-1.59970032654791,-0.0142660764319675,-0.317631658272687,0.286716484733066,-0.445354451027189,0.268924452858217,0.15512066101418,0.941582719297581,0.150313639371397,-0.443860688422794,0.481689213947409,-0.752179723508285,-0.458239170781339,-0.865635820493877,-0.298802475042758,48,422
154,1979,1,5.74,80,176,3.08,8,19.46,19.7,-12.47,335.5,3.3442,0.594,7,0,0,0.0754,0.125,18.4,NA,0.241697184263104,-0.587025314568317,-0.239109470511607,-0.399320730664058,0.0567039162746932,0.599540076845193,0.334706577216871,0.699858481883038,0.639520421533138,0.431129007656756,0.142239139876742,0.00596611558681914,0.14097057695301,-0.516795898794981,-0.189310315142298,-0.865045935520908,NA,48,418
155,1979,4,5.9,64,-100,1.277,6,31.43,31.45,-1.45,401.34,-999,-999,7.1,1,0,0.0184,0.625,16,NA,NA,NA,NA,NA,NA,-0.193704081257769,-0.194597006966258,-0.229315485193889,0.00979832779352119,-0.411993896830731,-0.923131471031619,-0.847908609465875,-0.433710900984085,-0.533485145684255,0.357153981287247,0.0422761057383418,NA,49,609
156,1979,4,5.9,64,-100,1.277,6,1.41,4.64,4.54,585.04,-999,-999,7.1,1,0,0.1207,0.4125,28,NA,NA,NA,NA,NA,-0.663452856562305,-0.677820626760935,-0.595293439314893,0.133052866329283,-1.56089564851481,-0.372842602851627,-0.88472702532227,-0.467626070282777,-0.611978129091898,-0.394743821783843,-0.278713239627104,0.123016874654029,-0.128395508735409,49,624
157,1979,4,5.9,64,-100,1.277,6,13.21,13.28,-10.03,535.24,-999,-999,7.1,1,0,0.0504,1.125,24,NA,NA,NA,NA,NA,NA,NA,NA,-1.44036716457016,-0.739387759520967,-1.10539904180012,-1.22420439172417,-1.02436824599941,-1.09012004987832,-1.04033044372861,-0.128199469238079,-0.132605389381482,-0.153809804265754,49,933
158,1979,1,6.53,80,180,0,9.96,0,0.34,0.35,259.86,3.14,1.36,13,0,0,0.4638,0.2875,32,NA,NA,NA,NA,-0.605323906609073,-0.509003378600874,-0.0344296264427868,-1.15904384321037,-1.0009429175704,-0.904402889727279,-0.0434221376156878,-0.0571986977710797,-0.317213942984675,0.17618186620564,0.000925953259026002,0.322839388952616,0.159102646575271,0.349297365882218,50,243
159,1979,1,6.53,80,180,0,9.96,0,0.65,0.66,242.05,3.04,1.32,13,0,0,0.47,0.1625,16,NA,NA,-1.43494385663094,-0.643030092072652,-0.97123324576358,-0.124956861467584,-1.05575484855954,-1.22605121081211,-0.239798620219386,-0.992753679917779,-0.792789197971075,-0.478026432587037,-0.552469555286656,-0.916427915667486,-0.0899419821681127,0.013877118731771,0.165151561091616,NA,50,245
160,1979,1,6.53,80,180,0,9.96,0.44,2.66,2.7,223.03,3.26,1.4,13,0,0,0.4589,0.125,32,NA,-0.171225927674034,-0.432484158005022,-1.21910338161037,-1.49946819091862,-0.332062858829429,-0.579310340663649,-0.427956569039663,0.627571047500847,0.849394973483077,0.572807911459248,0.794435173154591,0.378595844722954,0.933366949281578,0.806924151052618,0.646753153455504,0.509317389789689,1.04620820658895,50,210
161,1979,1,6.53,80,180,0,9.96,8.54,10.42,9.64,208.71,3.46,1.5,13,0,0,0.2258,0.05375,32,0.487567456418701,-0.977842177068277,0.532637430902169,0.26052091529519,0.230394966252987,-1.01687701883878,-0.187381597409868,-0.667078942486725,-0.980845480468758,-0.0946559119787374,-0.917460595851527,0.24129453422263,-0.808642436046102,-0.486126458947663,-0.550519277140468,-0.132225499203611,0.0923098479990303,0.274246559474749,50,216
162,1979,1,6.53,80,180,0,9.96,10.45,10.45,-10.45,231.23,2.96,1.28,13,0,0,0.2112,0.05,32,-0.0414647723631227,0.328875485171823,-0.373553191144135,-0.439699464292846,-0.455370257637651,-0.658971721906157,-0.354062863700993,-0.156677635017883,-0.0606056943843623,0.645706880621143,-0.333662759502337,0.204180523022381,0.556977453790348,-0.213379854422042,0.0533977082658987,0.573059912265283,0.12135180049232,-0.279110401030366,50,209
163,1979,1,6.53,80,180,0,9.96,23.17,24.6,18.52,205.78,3.36,1.46,13,0,0,0.0958,0.0875,32,0.800278811923774,0.00229632659517431,0.40652254626534,-0.922729646575267,0.437780254458636,-1.5367940113896,-0.482595417573302,-0.440690015045004,-1.14033068849643,-0.286873623424391,-0.610377206666334,-0.128563236127834,-0.437163160901487,-0.151128343383287,-0.391472460668708,-1.11584214131518,-0.726743730191277,-0.484967568111138,50,217
164,1979,1,6.53,80,180,0,9.96,15.19,15.19,-12.73,471.53,0.5,0.5,13,0,0,0.1517,0.1125,24,NA,0.237450550535915,0.625778374475428,0.260260968654039,0.541174290556936,0.815570220419797,0.486942582278102,0.440804044864354,1.51714597586448,0.903647553424368,0.830302051423129,0.775100254205951,0.244596420203111,0.444134771358016,0.522623073499976,0.695818393333595,0.527294822976167,-0.00957899956637753,50,240
165,1979,1,6.53,80,180,0,9.96,7.29,7.29,-3.94,242.05,2.3,1,13,0,0,0.2737,0.225,24,NA,NA,NA,0.00479689129698802,-0.452092244697549,-0.347263178637314,-0.340234714701799,0.0487997711255224,0.806757817503885,0.121755218122862,0.618442447369967,0.0371616044603664,0.365276195452846,0.0982063028384275,-0.105942208481135,-0.112564548215875,0.565183431209131,0.184424753722259,50,247
166,1979,1,6.53,80,180,0,9.96,49.1,50.1,28.71,336.49,0.42,0.42,13,0,0,0.0422,0.1375,32,NA,NA,0.10954599498849,-1.05610061784514,0.635227709038186,0.413372977198751,0.790374079488678,0.449281785979699,0.571274824264663,0.704648353285442,0.382785304131954,0.574064604617394,-0.169605216327949,-0.525742799594751,-0.712015665352417,-0.966657205912817,-1.74194488316263,-1.42245946755443,50,219
167,1979,1,6.53,80,180,0,9.96,13.52,15.3,13.78,259.86,2.58,1.12,13,0,0,0.1528,0.15,18.4,NA,NA,-0.509819571048762,-0.461481258567427,-0.880263206952516,-0.593386873874344,-0.498819635053098,-0.827823460769417,-0.477137278122746,-0.342905832292463,0.0548648809893866,-0.271528501197621,0.0281597505040665,-0.267475073543507,0.0863071135646658,0.275332293195119,0.297558914614177,NA,50,248
169,1979,1,6.53,80,180,0,9.96,22.03,22.03,-9.13,242.05,2.26,2.26,13,0,0,0.1038,0.0875,24,0.745261365392734,0.367947404699191,1.08915745187721,0.389038407064251,0.779633703990038,0.807463169017111,0.601040531184129,1.29360115679061,1.18605811713727,1.37349625771322,1.39386024383351,1.31731194363884,0.782249221552166,0.0477691397344326,1.17642282326482,1.26051248765048,0.848524359638102,1.36306887952068,50,241
170,1979,1,6.53,80,180,0,9.96,7.31,7.31,-7.31,192.05,5.32,1.4,13,0,0,0.3175,0.075,26.4,0.0488973384053986,0.010323863854556,-0.969884514616291,0.19948384980109,-0.32246173882483,-0.915760870487129,0.210708334318273,-0.310436517219498,-0.216659449784152,-0.0710812122371278,-0.816226131596992,-0.653501295875662,-0.531598600699954,-0.164772337726385,0.027289390752248,-0.309661787841196,-0.737464674807258,-0.0515212706673092,50,151
171,1979,1,6.53,80,180,0,9.96,0.07,0.07,-0.07,264.57,5.24,1.32,13,0,0,0.4941,0.1,40,-1.88567755236214,-0.555535499658875,-0.103504891597446,0.466661561582607,0.420971437899792,-0.265128487581447,-0.293155235243824,-1.05584155293304,-0.238591923322356,-0.570820757768349,-0.750923746589883,-0.428747429196823,-1.02736946060031,-1.36383821134518,-1.28969472088378,-1.31375346613931,-1.45575547577657,-1.38136677426279,50,160
172,1979,1,6.53,80,180,0,9.96,19.76,21.68,22.01,237.33,2.96,1.28,13,0,0,0.1068,0.1125,32,NA,0.130806558109381,0.283762878335523,0.249132789167781,-0.18629401357044,0.0758392221677759,-0.63475484530803,-0.162276595279732,-0.638852045153886,-0.365888719615605,-0.841398927793639,0.226338662065123,-0.0563947441634962,-0.0286148817614826,0.171454568818465,1.05365152390426,0.652809646250675,1.0484405407466,50,212
173,1979,1,6.53,80,180,0,9.96,8.6,8.6,-8.6,202.85,5.24,1.42,13,0,0,0.2837,0.075,32,-0.00825805007933056,0.0685141705139065,-0.379308926471178,0.53876350789959,0.184122060503089,-0.502396588663473,-0.00673977816512128,-1.12910305974456,-1.08315356128332,-0.102518090379479,-0.936607517686584,-0.331560262067109,-0.372987255962317,-0.453419015060367,0.0574417073649638,-0.220227301571606,-0.177421138906494,-0.48498149752663,50,103
174,1979,1,6.53,80,180,0,9.96,12.56,12.56,-12.56,196.25,3.26,1.42,13,0,0,0.1844,0.1,32,0.1689568669591,0.970417058135669,0.293690729994342,0.27681421612995,0.427868767876561,-0.192664719268093,0.0272713470241981,-0.746080933149559,0.0346590382323244,0.414128796616999,0.341644777874868,1.03284608962992,1.64237931687355,0.943057514106449,0.372141300636838,0.528516657430128,0.310428330527107,-0.474297610943855,50,214
175,1979,1,6.53,80,180,0,9.96,17.94,17.94,-17.94,196.88,2.78,1.2,13,0,0,0.1283,0.0875,32,0.426266269764432,1.07979687288053,0.281599711661325,-0.26852467232263,-0.242656980009972,-0.510725573103948,-0.00880527432448464,0.0953292770253542,-0.367935389584678,-0.353068399781426,-0.554494209765942,0.138673652354512,-0.37618768508041,0.253712220354219,-0.0226630859785306,0.0701636338349232,0.396534149109967,0.153878715483943,50,115
176,1979,1,6.53,80,180,0,9.96,21.98,21.98,-21.98,249.92,2.72,2.72,13,0,0,0.104,0.1,32,0.178105895927724,0.520965653110726,0.202302109340662,-0.407474411664098,0.18292843894409,-0.379427900980863,-0.256521039424644,0.00682081648423871,-0.316360600093536,-0.00924841098698881,-0.0198564008916851,0.317348724698819,0.441894078500001,-0.0413715720275096,0.194440724356173,0.642260678730119,0.495301858088983,0.0691660489088779,50,215
178,1979,1,6.53,80,180,0,9.96,10.79,12.85,13.04,162.94,3.72,1.6,13,0,0,0.1915,0.0625,32,0.444318243324546,0.310022670350754,0.223858800538646,0.374429907863844,-0.115889436176651,-0.0331142886883473,-1.48323904722428,-0.471094468353817,-0.242726372488046,0.114422934680773,-0.456327296649321,-0.314515517382827,0.259897653588713,0.222825410377428,0.761949222767239,0.804477361174463,0.659191870230105,-0.0188275903014929,50,213
179,1979,1,6.53,80,180,0,9.96,4.9,7.05,7.15,208.91,3.68,1.6,13,0,0,0.3089,0.0625,32,0.665581417733298,0.756619082155082,0.806895540892152,0.885048751132747,0.455104961432456,0.0328218345826801,-0.5372378453888,0.116062509576245,-0.286578996440789,0.135851994933899,0.398139393012884,0.270165179576856,-0.399779976958513,-0.550817210756012,-0.31131555909113,-0.220510884234201,-0.209109718028638,0.517953583704408,50,119
180,1979,1,6.53,80,180,0,9.96,1.76,3.95,4.01,205.63,5.74,1.6,13,0,0,0.4662,0.05,32,0.338123615112432,0.370142770462104,0.69047737948631,0.353685641869096,0.493231846309941,-0.77487773085927,-1.21262500850998,-0.202595478155385,-0.603476950850353,0.101452656385447,-0.126829192394599,-0.00022256843555013,0.0879657194845036,-0.30074774705198,0.0695635184954648,-0.153103248875302,0.904652826861613,0.874862318620481,50,118
181,1979,1,6.53,80,180,0,9.96,0,1.35,1.37,203.22,5.6,1.56,13,0,0,0.5653,0.0625,32,-0.193729983729225,-0.00655143422292292,0.535987842284678,0.728554075349627,0.390381301860687,-0.728061006631851,-0.947995009145803,-0.585406381963471,-0.613806412306703,-0.393748179555601,-0.425411752441461,-0.165732526120269,0.298782958347446,-0.0602477677002247,-0.136594988922035,0.544963020615517,-0.059814427519207,0.600832347874355,50,230
182,1979,1,6.53,80,180,0,9.96,0.56,0.56,-0.56,210.51,5.5,1.52,13,0,0,0.4983,0.075,32,-0.350702171152848,-0.0226682468342561,0.158916613877091,0.542616741944341,0.205091760957029,-0.847212006910745,-0.448762663404909,0.141151016277101,0.225082613417273,-0.428344605845968,-0.757856232779361,-1.28073662637962,-0.824017061928107,-0.123828088696249,-0.536407157650507,-0.728807863980422,-0.953056465787472,-0.77838232516302,50,200
